_index,_type,_id,_score,_source.os.build,_source.os.major,_source.os.minor,_source.os.name,_source.os.platform,_source.os.uname,_source.os.version,_source.lastKeepAlive,_source.configSum,_source.node_name,_source.mergedSum,_source.dateAdd,_source.name,_source.ip,_source.id,_source.status,_source.registerIP,_source.group,_source.version,_source.manager,_source.timestamp,_source.host,_source.cluster.name
racVM-monitoring-2022.14w,_doc,zhi2_38BNtEzm59aIQpS,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T16:29:49Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.252.0.78,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 16:30,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,cRhj_38BNtEzm59avAiR,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T14:59:52Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.252.0.78,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 15:00,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,SxiM_38BNtEzm59a8wq3,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T15:44:51Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.252.0.78,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 15:45,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,fBia_38BNtEzm59aqwp-,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T15:59:50Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.252.0.78,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 16:00,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,7xjD_38BNtEzm59a3wqZ,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T16:44:50Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.252.0.78,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 16:45,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,pBio_38BNtEzm59aZgqe,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T16:14:59Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.252.0.78,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 16:15,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,IauP-n8Bo1kLDy8QyEsF,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-05T16:29:54Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,192.168.11.196,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/5/2022 16:30,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,qhhR_n8BNtEzm59aFAQe,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T09:59:50Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.102.98.33,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 10:00,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,khgM_n8BNtEzm59aaQP0,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T08:44:58Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.102.98.33,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 8:45,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,qRga_n8BNtEzm59aIwOv,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T08:59:58Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.102.98.33,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 9:00,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,xxgn_n8BNtEzm59a4QNB,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T09:14:59Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.102.98.33,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 9:15,racVM-manager,disabled
